session_date,year,entry_time,is_flat
2013-01-07,2013,2013-01-07 14:18:00+00:00,False
2013-01-10,2013,2013-01-10 12:57:00+00:00,False
2013-01-10,2013,2013-01-10 13:24:00+00:00,False
2013-01-14,2013,2013-01-14 01:58:00+00:00,False
2013-01-14,2013,2013-01-14 12:47:00+00:00,False
2013-01-15,2013,2013-01-15 14:34:00+00:00,False
2013-01-18,2013,2013-01-18 12:04:00+00:00,False
2013-02-01,2013,2013-02-01 13:47:00+00:00,False
2013-02-08,2013,2013-02-08 14:30:00+00:00,False
2013-02-11,2013,2013-02-11 09:50:00+00:00,False
2013-02-13,2013,2013-02-13 14:59:00+00:00,False
2013-02-14,2013,2013-02-14 10:31:00+00:00,False
2013-02-25,2013,2013-02-25 08:12:00+00:00,False
2013-03-01,2013,2013-03-01 11:20:00+00:00,False
2013-03-05,2013,2013-03-05 09:02:00+00:00,False
2013-03-05,2013,2013-03-05 14:39:00+00:00,False
2013-03-08,2013,2013-03-08 13:30:00+00:00,False
2013-03-14,2013,2013-03-14 12:17:00+00:00,False
2013-03-15,2013,2013-03-15 13:54:00+00:00,False
2013-03-20,2013,2013-03-20 12:15:00+00:00,False
2013-03-22,2013,2013-03-22 13:33:00+00:00,False
2013-03-25,2013,2013-03-24 23:48:00+00:00,False
2013-03-25,2013,2013-03-25 10:08:00+00:00,False
2013-04-05,2013,2013-04-05 12:30:00+00:00,False
2013-04-12,2013,2013-04-12 12:15:00+00:00,False
2013-04-17,2013,2013-04-17 13:38:00+00:00,False
2013-04-23,2013,2013-04-23 13:31:00+00:00,False
2013-04-25,2013,2013-04-25 12:30:00+00:00,False
2013-04-29,2013,2013-04-29 13:47:00+00:00,False
2013-05-06,2013,2013-05-06 13:34:00+00:00,False
2013-05-09,2013,2013-05-09 01:26:00+00:00,False
2013-05-23,2013,2013-05-23 06:17:00+00:00,False
2013-05-23,2013,2013-05-23 08:30:00+00:00,False
2013-05-30,2013,2013-05-30 13:47:00+00:00,False
2013-06-04,2013,2013-06-04 13:34:00+00:00,False
2013-06-07,2013,2013-06-07 12:30:00+00:00,False
2013-06-11,2013,2013-06-11 03:13:00+00:00,False
2013-06-17,2013,2013-06-17 09:36:00+00:00,False
2013-06-20,2013,2013-06-20 00:19:00+00:00,False
2013-06-25,2013,2013-06-25 13:15:00+00:00,False
2013-06-27,2013,2013-06-27 02:10:00+00:00,False
2013-06-27,2013,2013-06-27 12:31:00+00:00,False
2013-06-27,2013,2013-06-27 13:48:00+00:00,False
2013-06-28,2013,2013-06-28 13:15:00+00:00,False
2013-07-01,2013,2013-07-01 13:56:00+00:00,False
2013-07-03,2013,2013-07-03 07:07:00+00:00,False
2013-07-08,2013,2013-07-08 07:34:00+00:00,False
2013-07-10,2013,2013-07-10 13:48:00+00:00,False
2013-07-16,2013,2013-07-16 13:30:00+00:00,False
2013-07-17,2013,2013-07-17 13:40:00+00:00,False
2013-07-22,2013,2013-07-22 01:04:00+00:00,False
2013-07-30,2013,2013-07-30 12:49:00+00:00,False
2013-08-06,2013,2013-08-06 13:54:00+00:00,False
2013-08-08,2013,2013-08-08 11:13:00+00:00,False
2013-08-13,2013,2013-08-13 09:00:00+00:00,False
2013-08-15,2013,2013-08-15 11:42:00+00:00,False
2013-08-15,2013,2013-08-15 13:33:00+00:00,False
2013-08-22,2013,2013-08-21 23:57:00+00:00,False
2013-08-23,2013,2013-08-23 01:32:00+00:00,False
2013-08-27,2013,2013-08-27 07:50:00+00:00,False
2013-09-06,2013,2013-09-06 12:31:00+00:00,False
2013-09-06,2013,2013-09-06 13:46:00+00:00,False
2013-09-26,2013,2013-09-26 13:49:00+00:00,False
2013-09-30,2013,2013-09-30 00:28:00+00:00,False
2013-09-30,2013,2013-09-30 12:34:00+00:00,False
2013-10-10,2013,2013-10-10 13:37:00+00:00,False
2013-10-16,2013,2013-10-16 13:56:00+00:00,False
2013-10-22,2013,2013-10-22 12:30:00+00:00,False
2013-10-25,2013,2013-10-25 11:19:00+00:00,False
2013-10-30,2013,2013-10-30 13:51:00+00:00,False
2013-11-05,2013,2013-11-05 14:32:00+00:00,False
2013-11-06,2013,2013-11-06 04:30:00+00:00,False
2013-11-13,2013,2013-11-13 13:33:00+00:00,False
2013-11-18,2013,2013-11-18 14:27:00+00:00,False
2013-11-22,2013,2013-11-22 08:13:00+00:00,False
2013-12-03,2013,2013-12-03 14:47:00+00:00,False
2013-12-04,2013,2013-12-04 14:05:00+00:00,False
2013-12-06,2013,2013-12-06 13:30:00+00:00,False
2013-12-06,2013,2013-12-06 13:46:00+00:00,False
2013-12-11,2013,2013-12-11 14:50:00+00:00,False
2013-12-16,2013,2013-12-16 03:08:00+00:00,False
2013-12-16,2013,2013-12-16 14:52:00+00:00,False
2013-12-20,2013,2013-12-20 14:49:00+00:00,False
2013-12-24,2013,2013-12-24 14:31:00+00:00,False
2013-12-27,2013,2013-12-27 14:30:00+00:00,False
2013-12-30,2013,2013-12-30 14:37:00+00:00,False
2014-01-02,2014,2014-01-02 14:40:00+00:00,False
2014-01-09,2014,2014-01-09 09:18:00+00:00,False
2014-01-15,2014,2014-01-15 08:24:00+00:00,False
2014-01-15,2014,2014-01-15 11:45:00+00:00,False
2014-01-15,2014,2014-01-15 14:10:00+00:00,False
2014-01-17,2014,2014-01-17 14:55:00+00:00,False
2014-01-21,2014,2014-01-21 05:01:00+00:00,False
2014-01-22,2014,2014-01-22 04:42:00+00:00,False
2014-01-23,2014,2014-01-23 14:00:00+00:00,False
2014-01-24,2014,2014-01-24 14:44:00+00:00,False
2014-01-29,2014,2014-01-29 14:37:00+00:00,False
2014-01-30,2014,2014-01-30 14:00:00+00:00,False
2014-01-31,2014,2014-01-31 11:38:00+00:00,False
2014-02-06,2014,2014-02-06 14:50:00+00:00,False
2014-02-07,2014,2014-02-07 06:16:00+00:00,False
2014-02-10,2014,2014-02-10 14:48:00+00:00,False
2014-02-13,2014,2014-02-13 05:27:00+00:00,False
2014-02-20,2014,2014-02-20 01:48:00+00:00,False
2014-02-21,2014,2014-02-21 02:52:00+00:00,False
2014-02-24,2014,2014-02-24 14:50:00+00:00,False
2014-02-28,2014,2014-02-28 14:39:00+00:00,False
2014-03-03,2014,2014-03-03 00:27:00+00:00,False
2014-03-04,2014,2014-03-04 06:04:00+00:00,False
2014-03-07,2014,2014-03-07 13:42:00+00:00,False
2014-03-07,2014,2014-03-07 14:50:00+00:00,False
2014-03-14,2014,2014-03-14 13:59:00+00:00,False
2014-03-17,2014,2014-03-17 13:40:00+00:00,False
2014-03-21,2014,2014-03-21 06:23:00+00:00,False
2014-03-24,2014,2014-03-24 13:40:00+00:00,False
2014-04-01,2014,2014-04-01 13:33:00+00:00,False
2014-04-01,2014,2014-04-01 13:46:00+00:00,False
2014-04-02,2014,2014-04-02 01:14:00+00:00,False
2014-04-02,2014,2014-04-02 13:29:00+00:00,False
2014-04-07,2014,2014-04-07 06:38:00+00:00,False
2014-04-09,2014,2014-04-09 08:48:00+00:00,False
2014-04-11,2014,2014-04-11 11:02:00+00:00,False
2014-04-17,2014,2014-04-17 13:42:00+00:00,False
2014-04-22,2014,2014-04-22 13:18:00+00:00,False
2014-04-24,2014,2014-04-24 10:16:00+00:00,False
2014-05-01,2014,2014-05-01 07:52:00+00:00,False
2014-05-01,2014,2014-05-01 08:41:00+00:00,False
2014-05-05,2014,2014-05-05 08:51:00+00:00,False
2014-05-06,2014,2014-05-06 09:07:00+00:00,False
2014-05-07,2014,2014-05-07 13:59:00+00:00,False
2014-05-12,2014,2014-05-12 10:30:00+00:00,False
2014-05-12,2014,2014-05-12 13:47:00+00:00,False
2014-05-15,2014,2014-05-15 13:45:00+00:00,False
2014-05-27,2014,2014-05-27 08:53:00+00:00,False
2014-06-23,2014,2014-06-23 01:45:00+00:00,False
2014-06-24,2014,2014-06-24 13:36:00+00:00,False
2014-06-24,2014,2014-06-24 13:45:00+00:00,False
2014-06-30,2014,2014-06-30 13:35:00+00:00,False
2014-07-03,2014,2014-07-03 12:27:00+00:00,False
2014-07-07,2014,2014-07-07 06:26:00+00:00,False
2014-07-08,2014,2014-07-08 13:37:00+00:00,False
2014-07-08,2014,2014-07-08 13:51:00+00:00,False
2014-07-10,2014,2014-07-10 12:51:00+00:00,False
2014-07-14,2014,2014-07-14 09:14:00+00:00,False
2014-07-22,2014,2014-07-22 09:43:00+00:00,True
2014-07-22,2014,2014-07-22 11:41:00+00:00,True
2014-07-22,2014,2014-07-22 13:52:00+00:00,True
2014-07-23,2014,2014-07-23 11:41:00+00:00,True
2014-07-24,2014,2014-07-24 01:45:00+00:00,False
