feature_name,exact_formula,source_file,source_timeframe,feature_asof_definition,trade_decision_timestamp,asof_leq_entry,available_live_without_revision,status,notes
stop_distance_R_cap,"min(1.5 * anchor, SL_CAP=200.0)",src/strict_engine.py::prev_completed_range + SL_CAP constant,60-min resampled bars,"close of the most recent fully-completed 60-min bar strictly before touch bar's hour-floor",touched_at (physical touch timestamp),TRUE,TRUE,ALLOWED,"Identical formula to the frozen engine's own stop-distance calc; always refers to a bar that closed before entry"
anchor_pts_raw,"prev_completed_range(ranges, touched_at)",src/strict_engine.py::prev_completed_range,60-min resampled bars,"same as above, pre-cap",touched_at,TRUE,TRUE,ALLOWED,"Raw prior-hour range before the 1.5x/SL_CAP transform"
sigma_day,"cash_open * (vol_close/100) / sqrt(252)",src/level_generation.py::generate_levels,daily vol-index close + 1-min cash open,"vol_close is the prior trading day's close (prior_session_close, strict <); cash_open is this session's own opening 1-min bar",touched_at,TRUE,TRUE,ALLOWED,"vol_close causal by construction (data_loader.prior_session_close uses index < target only)"
vol_close_prior,"prior_session_close(vol_series, session_date)",data/vxn_daily_2018_2026.csv (or substitute vol file),daily OHLC,"prior trading day close",touched_at,TRUE,TRUE,ALLOWED,"External data (VXN/VIX/GVZ/OVX/RVX), released and available before entry"
cash_open,"first RTH 1-min bar's open price",data/gc_1m/gc_continuous_2023_2026_1m.csv,1-min bars,"session open (09:30 ET)",touched_at,TRUE,TRUE,ALLOWED,"Always before IB completion, always before any touch"
ib_range_pts,"ib_high - ib_low over first ib_minutes of RTH",src/level_generation.py::generate_levels,1-min bars,"Initial Balance completion time (== level's created_at)",touched_at,TRUE,TRUE,ALLOWED,"physical_touches() only searches for touches strictly after created_at, so IB range is always known before any touch of that level"
sigma_offset_pts,"sigma_day * offset_pct  (GC uses percent-of-sigma; NQ's fixed_offset variant not used here)",src/level_generation.py::generate_levels,derived,"level creation (created_at)",touched_at,TRUE,TRUE,ALLOWED,"Part of the level-placement formula itself"
level_distance_from_open_pts,"abs(level - cash_open)",derived from generate_levels output,derived,"level creation",touched_at,TRUE,TRUE,ALLOWED,"Level geometry known at entry, explicitly allowed by the task spec"
side_direction,"+1 if side=='lower' (long) else -1 if side=='upper' (short)",src/strict_engine.py::physical_touches,event metadata,"level creation / touch definition itself",touched_at,TRUE,TRUE,ALLOWED,"Direction, explicitly allowed by the task spec"
entry_hour_et,"touched_at.tz_convert('America/New_York').hour + minute/60",derived from touched_at,event metadata,"= entry timestamp itself",touched_at,TRUE,TRUE,ALLOWED,"Time of day, explicitly allowed"
day_of_week,"touched_at.tz_convert('America/New_York').dayofweek",derived from touched_at,event metadata,"= entry timestamp itself",touched_at,TRUE,TRUE,ALLOWED,"Day of week, explicitly allowed"
contract_id,"contract column value on the touch bar's calendar day",data/gc_1m/gc_continuous_2023_2026_1m.csv,daily roll assignment,"start of that trading day's roll assignment",touched_at,TRUE,TRUE,CAVEAT,"Roll-selection itself uses that FULL calendar day's total volume (see docs/DATA_PIPELINE.md, same disclosed property as the NQ pipeline) -- not strictly pre-day-causal for CONTRACT ASSIGNMENT, though it does not look ahead in price. Included as a categorical feature with this caveat carried forward explicitly, not silently."
dist_prior_bar_close_pts,"abs(level - close of the bar immediately preceding the touch bar)",src/strict_engine.py (same quantity used for tie-breaking),1-min bars,"close of the bar immediately before the touch bar",touched_at,TRUE,TRUE,ALLOWED,"Strictly the previous completed bar"
trailing_5session_avg_ib_range_pts,"mean(ib_range_pts of the 5 most recent PRIOR sessions with a generated level)",derived from generate_levels output,derived / rolling,"end of the most recently completed prior session in the rolling window",touched_at,TRUE,TRUE,ALLOWED,"Rolling causal statistic; window is trailing-only, never centered, never includes the current or future session"
year_time_index,"calendar year of touched_at",derived from touched_at,event metadata,"= entry timestamp itself",touched_at,TRUE,TRUE,RESTRICTED,"Causal (trivially known at entry) but used ONLY for stability stratification (year-by-year breakdown), never as a raw linear predictor -- a bare time/year term is not an interpretable causal mechanism and would not generalize to future years by construction"
eventual_exit_price,n/a -- FORBIDDEN,n/a,n/a,"exit time > entry time",touched_at,FALSE,FALSE,FORBIDDEN,"Post-entry outcome, not known at entry"
eventual_pnl,n/a -- FORBIDDEN,n/a,n/a,"exit time > entry time",touched_at,FALSE,FALSE,FORBIDDEN,"Post-entry outcome"
same_trade_MAE_MFE,n/a -- FORBIDDEN as a predictor (it IS the label),n/a,n/a,"label horizon > entry time",touched_at,FALSE,FALSE,FORBIDDEN,"This is the target being predicted, not an input"
future_bars_beyond_cutoff,n/a -- FORBIDDEN,n/a,n/a,"> cutoff time",touched_at,FALSE,FALSE,FORBIDDEN,"Beyond the declared label horizon entirely"
eventual_session_high_low,n/a -- FORBIDDEN,n/a,n/a,"session close > entry time",touched_at,FALSE,FALSE,FORBIDDEN,"Requires the full session to have completed"
centered_rolling_stats,n/a -- FORBIDDEN,n/a,n/a,"includes future observations",touched_at,FALSE,FALSE,FORBIDDEN,"Any rolling window that isn't trailing-only"
full_sample_normalization,n/a -- FORBIDDEN as constructed,n/a,n/a,"uses statistics computed over the whole dataset including future data",touched_at,FALSE,FALSE,FORBIDDEN,"Any scaler/threshold must be fit on training data only, per SPLIT_MANIFEST.json"
