sess_date,year,entry_ts,cutoff_ts,side,level,anchor,stop_pts,pnl_standard,exit_standard,pnl_be60,exit_be60
2020-01-07,2020,2020-01-06 21:23:00-0500,2020-01-07 15:00:00-0500,upper,8881.008406,14.0,21.0,21.0,TP,-0.0,BE
2020-01-08,2020,2020-01-07 19:32:00-0500,2020-01-08 15:00:00-0500,lower,8696.616594,120.25,180.375,180.375,TP,180.375,TP
2020-01-17,2020,2020-01-17 04:51:00-0500,2020-01-17 15:00:00-0500,upper,9163.275526,17.75,26.625,26.625,TP,-0.0,BE
2020-01-21,2020,2020-01-20 21:35:00-0500,2020-01-21 15:00:00-0500,lower,9121.972242,39.75,59.625,59.625,TP,0.0,BE
2020-01-22,2020,2020-01-21 21:51:00-0500,2020-01-22 15:00:00-0500,upper,9212.777758,11.5,17.25,-17.25,SL,-17.25,SL
2020-01-23,2020,2020-01-23 09:35:00-0500,2020-01-23 15:00:00-0500,lower,9157.4751,17.75,26.625,26.625,TP,26.625,TP
2020-01-24,2020,2020-01-24 03:07:00-0500,2020-01-24 15:00:00-0500,upper,9274.558964,7.0,10.5,-10.5,SL,-10.5,SL
2020-01-27,2020,2020-01-27 05:03:00-0500,2020-01-27 15:00:00-0500,lower,8991.946156,48.0,72.0,-17.9462,cutoff,0.0,BE
2020-01-27,2020,2020-01-27 05:12:00-0500,2020-01-27 15:00:00-0500,lower,8990.485046,48.0,72.0,-16.485,cutoff,0.0,BE
2020-01-27,2020,2020-01-27 05:21:00-0500,2020-01-27 15:00:00-0500,lower,8961.298613,48.0,72.0,12.7014,cutoff,0.0,BE
2020-01-27,2020,2020-01-27 06:00:00-0500,2020-01-27 15:00:00-0500,lower,8950.865944,47.75,71.625,23.1341,cutoff,0.0,BE
2020-01-27,2020,2020-01-27 09:30:00-0500,2020-01-27 15:00:00-0500,lower,8937.748285,21.25,31.875,31.875,TP,31.875,TP
2020-01-28,2020,2020-01-28 10:25:00-0500,2020-01-28 15:00:00-0500,upper,9053.029259,38.75,58.125,-58.125,SL,-0.0,BE
2020-01-30,2020,2020-01-30 02:06:00-0500,2020-01-30 15:00:00-0500,lower,9012.488206,19.5,29.25,29.25,TP,29.25,TP
2020-02-04,2020,2020-02-04 03:23:00-0500,2020-02-04 15:00:00-0500,upper,9218.804596,28.0,42.0,-42.0,SL,-0.0,BE
